Rolle,01,02a,02b,02c,03a,03b,03c,04,05,06,07a,07b,07c,07d,07e,07f,08,09,10,11,12a,12b,12c,12d,12e,12f,12g,12h,12i,12j,13
Studierende_,5,4,5,5,5,3,3,4,5,5,5,5,3,3,4,4,4,5,3,5,5,4,5,5,4,3,4,3,5,5,5
Studierende_Politik_Verwaltung_Organisation,5,5,5,5,5,5,1,5,3,4,5,5,4,5,4,5,3,4,3,5,1,4,1,4,5,5,2,5,3,5,5
Studierende_Politik_Verwaltung_Organisation,5,5,5,5,5,5,3,5,3,5,5,5,4,4,5,5,4,5,4,5,3,3,4,5,4,4,3,5,4,3,5
Studierende_Politik_Verwaltung_Organisation,4,4,5,5,4,4,3,5,3,4,5,5,4,5,4,4,4,3,4,5,4,4,3,5,5,5,3,5,3,3,5
Studierende_,3,5,4,5,5,5,2,1,5,2,5,4,5,3,2,1,5,5,5,4,4,3,3,5,5,5,2,4,5,1,5
Studierende_Informatik/ComputationalScience,4,5,5,4,5,4,3,3,5,3,5,4,3,3,4,4,4,3,3,3,1,1,1,4,5,5,5,5,5,5,5
Studierende_Politik/Wirtschaft,2,4,1,3,5,2,1,2,4,1,5,4,2,3,1,3,3,1,5,5,4,4,3,5,5,4,5,1,5,5,4
Studierende_Informatik/ComputationalScience,3,4,2,3,5,4,3,4,3,2,4,2,3,3,2,3,2,3,4,5,3,3,2,4,4,3,3,2,4,4,5
Studierende_Informatik/ComputationalScience,3,4,2,4,5,4,4,3,3,3,3,4,2,2,2,3,3,2,4,4,2,2,2,4,4,4,3,3,3,4,4
Studierende_Informatik/ComputationalScience,2,3,1,3,1,5,4,4,2,2,1,3,4,1,2,1,4,2,2,4,4,4,2,5,4,1,1,1,1,5,4
Studierende_Mathematik,2,5,3,2,1,4,3,4,2,1,4,4,1,3,1,1,4,2,2,4,2,3,3,4,4,1,2,1,2,3,3
