Nummer,Titel,Rolle,Ziele,Daten,Quellen,Skizze,Zeitpunkt/Intervall,Erläuterungen
01,Deadline;Workload Übersicht,Forschende,Deadlines und Workflow Managen,Aufgaben mit proz. Erledig. - Grad,BMBF Konferenzen;Journalkalender,./Bilder/Nummer1.jpg,Täglich/Kontinuierlich,Adaptiv Aufgabenlänge lernen - Je größer Objekt desto größer Aufwand
02-a,Studierende - Leistung &% Ergebnis,Studierende;Lehrende,Didaktik / Lehre auf Kursebene,Leistungsdaten (%);Ergebnisdaten,Moodle;Campus.UP;PULS,./Bilder/Nummer2a.jpg,Täglich/Kontinuierlich,Leistungsdaten der Studierenden werden entweder als Balkendiagramm oder Bewertungsübersicht dargestellt;Ergebnisdaten werden aus Leistungsdaten ermittelt;Daten werden aus zB Tests erhoben
02-b,Studierendeninteraktion,Studierende;Lehrende,Didaktik / Lehre auf Kursebene,Intensitätsdaten - Kollaborationsdaten - Kommunikationsdaten zB Chatlänge häufige Kontaktpersonen - Gruppendaten,Moodle;Campus.UP,./Bilder/Nummer2b.jpg,Täglich/Kontinuierlich,Der Fokus liegt hier auf der Interaktion zwischen den Studierenden.
02-c,Lernpfade,Studierende;Lehrende,Fortschritt tracken und verfolgen,Aktivitätsdaten/Forschritt Termine;Fristen eingehalten? Auflistung aller zukünftigen Abgaben;Welche Inhalte nehmen Studierende wahr? - Lernaktivität - Evaluationsdaten,Moodle;Campus.UP;PULS,./Bilder/Nummer2c.jpg,Täglich/Kontinuierlich,Die Aktivität der Studierenden soll erfasst werden;Möglichkeit eigenen Fortschritt zu erfassen;Lehrende sollen den Einsatz von Lehr und Lernmittel nachvollziehen können
03-a,Mensa - Belegung,Studierende;Lehrende;Forschende;Zentrale Einrichtung,beste Zeit und Ort zum Essen finden,Mensaauslastung ETF Beliebtheit von Aufgaben,Studentenwerk,./Bilder/Nummer3a.jpg,Täglich/Kontinuierlich,Mensaauslastung pro Standort inklusive Essenverfügbarkeit
03-b,Studienfortschritt,Studierende;Lehrende,Studienverlauf visualisieren und Defizite aufzeigen,Noten;Punkte;Profilrichtungen;Kurse;Professoren,Moodle;PULS,./Bilder/Nummer3b.jpg,Pro Semester,Balken ändern Farbe je nach Fortschritt
03-c,Beliebtheit der Wahlaufgaben,Lehrende;Forschende,Evaluation von Medien,Beliebtheit von Aufgaben oder Aktivitäten,Moodle,./Bilder/Nummer3c.jpg,Pro Semester,Professoren können Beliebtheit bei Wahlaufgaben nachvollziehen
04,Gemeinsame Kurse,Studierende;Lehrende,Optimale Wahl der Kurse pro Semester,Kursliste;Kursbelegung;Kontakte;gemeinsame Aktivitäten,Moodle;PULS;Mail,./Bilder/Nummer4.jpg,Pro Semester,Vorschlag weiterer Personen anhand früherer Semester oder anderer Kontakte;Vorschlag weiterer Kurse anhand Belegungen von Kommilitonen
05,WHK Übersicht x Arbeitsplanung,Forschende;Zentrale Einrichtung,Über x Unterlastung erkennen + Verträge verlängern,Auslastung;Laufzeit WHK-Verträge;Stundensatz WHK,Aufgabenverwaltung;D1/D4,./Bilder/Nummer5.jpg,Täglich/Kontinuierlich;Wöchentlich,Awesome Faktor
06,Aktivität,Lehrende;Forschende,Netzwerk Analyse in AG/Proj,Interaktionen;Kommunikation;Drittmittel Kooperation,Moodle;Campus.UP;PULS;D1/D4,./Bilder/Nummer6.jpg,Täglich/Kontinuierlich;Wöchentlich;Monatlich,Visualisierung der Nutzeraktionen innerhalb eines Workspaces; Nutzer die in mehreren Workspace miteinander agieren werden näher beieinander dargestellt
07-a,Tutorstand,Lehrende,Personalmanagement,Aktivitätsdaten,Moodle;PULS,./Bilder/Nummer7a.jpg,Täglich/Kontinuierlich,Lehrende sollen einen Überblick über den Leistungs und Aktivitätsstand ihrer eingesetzten Tutoren erhalten
07-b,PEP-Evaluation,Lehrende,Lehrende Feedback,Evaluationsdaten von PEP,PEP,./Bilder/Nummer7b.jpg,Pro Semester,zwei Bereiche: Lehrende sollen Bewertung ihrer Übungsgruppenteilnehmer einsehen;Lehrende sollen ihren Kurs mit den Kursen anderer Lehrenden derselben Hochschule vergleichen können
07-c,Moodle - Kursaktivität,Lehrende,Studierendenaktivität verfolgen,Aktivitätsdaten;Downloadzahlen;Materialanzahl,Moodle;Campus.UP;Website,./Bilder/Nummer7c.jpg,Täglich/Kontinuierlich,Lehrende sollen die Aktivitäten wie Downloads vonMaterial oder Folien/Skripte nachverfolgen können
07-d,An- und Abwesenheit,Lehrende,Lehre,Anwesenheitsdaten;Ergebnisdaten,Prüfungssystem;Moodle;PULS;Eingabe durch Personen,./Bilder/Nummer7d.jpg,Täglich/Kontinuierlich,Lehrende sollen von Anwesenheits und Ergebnisdaten nachvollziehen können;wie gut einzelne Studierende oder Übungsgruppen nach Vorlesungsinhalt sortiert;abgeschnitten haben
07-e,Vergleichende PEP - Evaluation,Studierende;Lehrende,Reflexion seiner eigenen Bewertung,Evaluationsdaten,PEP,./Bilder/Nummer7e.jpg,Pro Semester,Student soll seine eigene Bewertung mit anderen Bewertungen vergleichen können
07-f,Teilnehmerverlauf (physisch),Lehrende,Teilnehmerverlauf in Kursen verfolgen,Teilnehmerzahlen;Moodle-Anmeldungen;PULS-Anmeldungen,PULS;Moodle;Eingabe durch Personen,./Bilder/Nummer7f.jpg,Täglich/Kontinuierlich,Vergleich von physischen Teilnehmer zu Anzahl an Anmeldungen
08,Quiz-Erfolgsverlauf,Studierende;Lehrende,Reflektieren von Studienleistung und Lehrqualität,Ergebnisse pro Person;Kurs;Pro Semester,Moodle,./Bilder/Nummer8.jpg,Täglich/Kontinuierlich,Lehrende: Ansicht pro Kurs;Alle Studenten erkennbar - Student: Ansicht alle Kurse des Semesters;andere anonym - Vergleich mit Vorjahr
09,Personenbezogener Output,Studierende;Lehrende;Forschende;Zentrale Einrichtung,Über den eigenen Stand Forschung/Lehre informieren;Abweichungen von (selbst/extern) erwarteten Werten erkennen - Möglichkeit den erwarteten Werten frühzeitig entgegen zu steuern,Ressourcenverbrauch;Publikationen;Drittmittel;Buchausleihen;Zuordnung Person-Institut-GEOKoordinaten;Lehrveranstaltungen;Studierende;Kursgrößen;Wohnheimplatzbelegung,ResearchGate;Oracle;D1/D4;UB;EIB;OSM;Beschaffung;PULS,./Bilder/Nummer9.jpg,Pro Semester;Monatlich;Wöchentlich,Bericht auswählbar;nach Campus / Institut gruppieren + aggregieren;für Netzwerkbeziehungen (Forschungsbeziehung;Kurs-Pendler;usw.) Karte verzerren oder Linienstärke variieren nach Intensität der Beziehung
10,zeitliches Lernverhalten Visualisierer,Lehrende;Forschende,Zeit in der gelernt wird gezielt besser verteilen indem der bisherige Verlauf dargestellt wird,Wann erstellt;bearbeitet;eingereicht;Kollaboration;Verhaltensmetadaten,Foren;Blog;Moodle;Campus.UP,./Bilder/Nummer10.jpg,Täglich/Kontinuierlich,Aufgaben kurz vor Abgabe - Verhalten aufbrechen
11,Arbeitsaufwand,Studierende;Forschende,Einschätzung des Arbeitsaufwandes im Semester,Angemeldete Kurse;Aktivität der Kurse in der Vergangenheit;Studiengang;aktueller Studienstatus;Studienplan,Moodle;PULS;PEP;Anbindung Reflektion,./Bilder/Nummer11.jpg,Pro Semester,Einbindung der Semesterarbeit;Aufwandverteilung anhand vergangener Daten;Recommender je Aufwand und Studienplan
12-a,Systembetrieb,Zentrale Einrichtung,Übersicht,Nutzerzahlen;Nutzungszahlen;Aktuelle Nutzer auf System;Registrierte Nutzer im System,angeschlossene Systeme;Graphana;Nagios,./Bilder/Nummer12a.jpg,Täglich/Kontinuierlich,Das ZIM soll Nutzungszahlen der laufenden Applikationen zeitabhängig sehen können. Eine Detailansicht soll diese Nutzungszahlen verfeinern
12-b,Downtime / Absturzbericht,Zentrale Einrichtung,Übersicht,Downtimedaten;Absturzanzahl,angeschlossene Systeme;Monitoring;Nagios,./Bilder/Nummer12b.jpg,Täglich/Kontinuierlich,ZIM soll die Downtimedaten verschiedener Anwendungen angezeigt bekommen
12-c,Versionsmonitor,Zentrale Einrichtung,Übersicht,Versionsdaten;(Anwendungsname;Versionsnummer),GitHub;Git.UP,./Bilder/Nummer12c.jpg,Täglich/Kontinuierlich,Auflistung von Anwendungen mit ihrer jeweiligen Versionsnummer;Unterschieden wird zw aktueller Enwicklerversion und laufender Version
12-d,Aktuelle Störungen,Zentrale Einrichtung,Überblick/Übersicht zu Störungen,Störungsdaten,angeschlossene Systeme,./Bilder/Nummer12d.jpg,Täglich/Kontinuierlich,Aktuelle Störungen von Systemen sollen in einem Ampelsystem dargestellt werden
12-e,Angehende Wartungsarbeiten,Studierende;Lehrende;Forschende;Zentrale Einrichtung,Über Wartungsarbeiten informieren,Wartungsdaten (Zeit),angeschlossene Systeme,./Bilder/Nummer12e.jpg,Täglich/Kontinuierlich,Informieren über Wartungsarbeiten an Systemen oder Anwendungen
12-f,Meeting - Planung,Zentrale Einrichtung,Spaß,Umfrageergebnisse,Eingabe durch Personen,Interaktive Inhalte zur Abstimmung und zur Ergänzung,Täglich/Kontinuierlich,"Interaktive Inhalte anzeigen, zB Meeting-Planung"
